id,text,label,text_source,evidence_source,evidence_url,published_at,topic,verification_method,notes,approved
turnbackhoax-36648,Tautan Pendaftaran Lowongan Kerja Puskesmas,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36648-penipuan-tautan-pendaftaran-lowongan-kerja-puskesmas,2026-09-14,lainnya,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36649,Tautan Pendaftaran Tunjangan Lansia 2026,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36649-penipuan-tautan-pendaftaran-tunjangan-lansia-2026,2026-09-14,lainnya,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36654,Tautan Pendaftaran Bansos Digital,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36654-penipuan-tautan-pendaftaran-bansos-digital,2026-09-14,bantuan_sosial,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36655,"Dokumentasi “Malaysia Kirim Pesawat, Padamkan Karhutla Sumatra 2026”",hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36655-salah-dokumentasi-malaysia-kirim-pesawat-padamkan-karhutla-sumatra-2026,2026-09-14,bencana_cuaca,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36672,Lowongan Kerja Cosmos Indonesia,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36672-penipuan-lowongan-kerja-cosmos-indonesia,2026-09-15,lainnya,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36680,Kota Malang Sepakat Hentikan MBG,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36680-salah-kota-malang-sepakat-hentikan-mbg,2026-09-15,lainnya,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36681,Gibran Sebut Tidak Tahu Kasus Keracunan MBG,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36681-salah-gibran-sebut-tidak-tahu-kasus-keracunan-mbg,2026-09-15,lainnya,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36682,Toko Harian Dipaksa Tutup karena Dekat dengan Kopdes,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36682-salah-toko-harian-dipaksa-tutup-karena-dekat-dengan-kopdes,2026-09-16,lainnya,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36700,Dokumentasi &quot;Aksi Pembakaran Gudang MBG di NTB&quot;,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36700-salah-dokumentasi-aksi-pembakaran-gudang-mbg-di-ntb,2026-09-16,lainnya,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36701,Tautan Lowongan Kerja Elabram Systems,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36701-penipuan-tautan-lowongan-kerja-elabram-systems,2026-09-16,lainnya,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36706,"Pembangunan IKN Dihentikan Sementara, Dana Dialihkan ke MBG dan Kopdes",hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36706-salah-pembangunan-ikn-dihentikan-sementara-dana-dialihkan-ke-mbg-dan-kopdes,2026-09-16,lainnya,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36727,Video &quot;Laut Merak Kering Imbas Erupsi Gunung Anak Krakatau&quot;,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36727-salah-video-laut-merak-kering-imbas-erupsi-gunung-anak-krakatau,2026-09-17,bencana_cuaca,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36729,Malaysia Laporkan Indonesia ke PBB soal Karhutla,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36729-salah-malaysia-laporkan-indonesia-ke-pbb-soal-karhutla,2026-09-17,bencana_cuaca,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36730,Ojol Dilarang Beli Pertalite,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36730-salah-ojol-dilarang-beli-pertalite,2026-09-17,lainnya,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36731,Tautan Pendaftaran Cek Kesehatan Gratis,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36731-penipuan-tautan-pendaftaran-cek-kesehatan-gratis,2026-09-17,kesehatan,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36737,Tautan Pendaftaran Program Bantuan Lansia,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36737-penipuan-tautan-pendaftaran-program-bantuan-lansia,2026-09-18,bantuan_sosial,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36738,Ada Kebijakan Razia Kendaraan dari Rumah ke Rumah,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36738-salah-ada-kebijakan-razia-kendaraan-dari-rumah-ke-rumah,2026-09-18,keamanan,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36774,Foto Rekrutmen Pegawai Koperasi Merah Putih,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36774-penipuan-foto-rekrutmen-pegawai-koperasi-merah-putih,2026-09-19,teknologi,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36775,Menkeu Suahasil Terlibat Korupsi Ratusan Triliun Rupiah,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36775-salah-menkeu-suahasil-terlibat-korupsi-ratusan-triliun-rupiah,2026-09-21,ekonomi,fact_check,ClaimReview verdict=Salah; requires manual review,0
turnbackhoax-36776,Kontak “Pendaftaran Dana Bantuan” dari Menkeu Suahasil Nazara,hoax,claim,TurnBackHoax / MAFINDO,https://turnbackhoax.id/articles/36776-penipuan-kontak-pendaftaran-dana-bantuan-dari-menkeu-suahasil-nazara,2026-09-21,bantuan_sosial,fact_check,ClaimReview verdict=Salah; requires manual review,0
cekfakta-36764,Tautan Link Pendaftaran Cek Kesehatan Gratis (CKG),hoax,claim,CekFakta,https://cekfakta.com/focus/36764,2026-09-15,kesehatan,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36700,"Dokumentasi ""Aksi Pembakaran Gudang MBG di NTB""",hoax,claim,CekFakta,https://cekfakta.com/focus/36700,2026-09-16,teknologi,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36702,Hoaks Polri Bakal Razia Pajak Kendaraan ke Rumah Warga Mulai September 2026,hoax,claim,CekFakta,https://cekfakta.com/focus/36702,2026-09-16,teknologi,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36707,Hoaks Link Pendaftaran Undian Berhadiah Bank BRI,hoax,claim,CekFakta,https://cekfakta.com/focus/36707,2026-09-16,ekonomi,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36708,Hoaks Video Ustaz Abdul Somad Bicara Bantuan Dana Hibah Arab Saudi,hoax,claim,CekFakta,https://cekfakta.com/focus/36708,2026-09-16,bantuan_sosial,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36765,Prabowo Minta Guru Rahasiakan Keracunan MBG,hoax,claim,CekFakta,https://cekfakta.com/focus/36765,2026-09-16,lainnya,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36766,Pigai Sebut Penembakan ASN oleh KKB Tidak Melanggar HAM,hoax,claim,CekFakta,https://cekfakta.com/focus/36766,2026-09-16,teknologi,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36767,Rekaman Video Tenggelamnya KMP Virgo 8 pada 5 September,hoax,claim,CekFakta,https://cekfakta.com/focus/36767,2026-09-16,lainnya,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36768,Video Penemuan Jurnalis Hilang saat Liput Anak Krakatau,hoax,claim,CekFakta,https://cekfakta.com/focus/36768,2026-09-16,lainnya,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36727,"Video ""Laut Merak Kering Imbas Erupsi Gunung Anak Krakatau""",hoax,claim,CekFakta,https://cekfakta.com/focus/36727,2026-09-17,bencana_cuaca,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36728,Hoaks Artikel Menkeu Suahasil Terlibat Korupsi 500 Triliun,hoax,claim,CekFakta,https://cekfakta.com/focus/36728,2026-09-17,politik,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36734,Tidak Benar Link Ini untuk Pendaftaran PKH Ibu Hamil 2026,hoax,claim,CekFakta,https://cekfakta.com/focus/36734,2026-09-17,bantuan_sosial,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36735,Hoaks Link Pendaftaran Pendamping Lokal Desa Kemendes 2026,hoax,claim,CekFakta,https://cekfakta.com/focus/36735,2026-09-17,lainnya,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36769,Link Pendaftaran Penyaluran Bansos Beras 30 Kg 2026,hoax,claim,CekFakta,https://cekfakta.com/focus/36769,2026-09-17,bantuan_sosial,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36770,Video Toko Disuruh Tutup sebab Dekat Kopdes Merah Putih,hoax,claim,CekFakta,https://cekfakta.com/focus/36770,2026-09-17,lainnya,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36741,Hoaks Video Menkeu Suahasil Umumkan Program Dana Hibah,hoax,claim,CekFakta,https://cekfakta.com/focus/36741,2026-09-18,lainnya,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36771,"Video Dapur SPPG di Lombok Tengah, NTB, Dibakar Warga",hoax,claim,CekFakta,https://cekfakta.com/focus/36771,2026-09-18,lainnya,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36772,Mengonsumsi Undur-Undur Dapat Menyembuhkan Diabetes,hoax,claim,CekFakta,https://cekfakta.com/focus/36772,2026-09-18,lainnya,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36773,Artikel Menkeu Suahasil Terlibat Korupsi Rp500 Triliun,hoax,claim,CekFakta,https://cekfakta.com/focus/36773,2026-09-19,politik,fact_check,CekFakta API status=Salah; requires manual review,0
cekfakta-36777,Hoaks Artikel Nusron Wahid Sebut Jokowi Terima Uang Suap 700 Miliar,hoax,claim,CekFakta,https://cekfakta.com/focus/36777,2026-09-21,lainnya,fact_check,CekFakta API status=Salah; requires manual review,0
afp-C3JA6TA,"LGBT Agenda Elite Global,",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C3JA6TA,2026-07-30,kesehatan,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C3N92ZQ,"Pajak sepeda bakal dipungut, Kemenhub buka wacana untuk bayar pajak.",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C3N92ZQ,2026-07-31,teknologi,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C43B9ZV,"Mulai 2027 Pengguna HP akan dikenakan pajak! Ini kata Bahlil Lahadalia,",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C43B9ZV,2026-08-07,teknologi,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C43D2T4,"Indonesia Meluncurkan Prototipe Vaksin DBD Berbasis Teknologi MRNA yg akan dikontrol A.I (Artificial Intelligence) dan akan merubah DNA ILAHI Hilang Dari Fitrah-NYA serta terputusnya signal spirituality ke Sang Pencipta,",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C43D2T4,2026-08-07,kesehatan,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C4AR4CR,"Pemerintah berharap warung per toko di pedesaan ditutup, supaya masyarakat desa belanja di koperasi desa,",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C4AR4CR,2026-08-10,politik,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C46U463,"Sebuah video viral memperlihatkan seorang migran asal Maroko merekam dirinya sendiri menggunakan tongkat selfie saat berenang menuju Ceuta, wilayah kantong Spanyol di Afrika Utara,",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C46U463,2026-08-11,teknologi,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C4YU8NR,"Aksi massa di Sudirman memanas, barikade polisi dijebol di sekitar Tosari,",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C4YU8NR,2026-08-20,bencana_cuaca,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C63B8NR,"HIV WAJIB ada & ditakuti untuk pasar obat ARV seumur hidup. LGBT dipelihara & diperbanyak untuk pasar obat ARV,",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C63B8NR,2026-08-20,kesehatan,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C67B39E,"Tsunami terjang Labuhan Bajo !!! Detik-detik tsunami sempat terjang Labuan Bajo usai Gempa M7,7,",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C67B39E,2026-08-21,bencana_cuaca,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C67T6KE,"Tahukah kamu? Begini cara paus biru menyusui anaknya di bawah laut,",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C67T6KE,2026-08-21,teknologi,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C6L8869,Kanker serviks itu biasanya diderita oleh perempuan ketika umurnya lebih dari 50 tahun. Ngapain diberikan pada umur 12 tahun?,hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C6L8869,2026-08-27,kesehatan,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C6YK89E,"Asap Membungkam Suara Rimba, Salah satu satwa langkah Kalimantan harus di evakuasi ,",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C6YK89E,2026-09-02,bencana_cuaca,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C7868T3,"Sudah mulai berdatangan dari Pati, Senayan diprediksi akan penuh menjelang massa aksi,",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C7868T3,2026-09-03,teknologi,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C7DR9ZT,"Ternyata oh ternyata, Bendungannya di bom,",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C7DR9ZT,2026-09-08,bencana_cuaca,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C7HH4KE,"Tanggal 27 Agustus. Demo besar-besaran di DPR RI. Doa kami selalu menyertai kalian, demi bangsa dan tanah air,",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C7HH4KE,2026-09-08,politik,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C7E489E,"Ngeri! Longsor hebat picu banjir bandang di Nepal, ratusan WNA dilaporkan hilang,",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C7E489E,2026-09-09,bencana_cuaca,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C7HQ8T8,Rahasia di Balik Fenomena El Nino dan Pengaruh Gelombang Frekuensi pada Cuaca!,hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C7HQ8T8,2026-09-09,politik,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C7QM7CW,"Suara dentuman keras! Anak Krakatau kembali bikin warga geger,",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C7QM7CW,2026-09-10,teknologi,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C7RB2CQ,"Mengingat abu vulkanik Krakatao sudah mulai mengarah ke provinsi Lampung, jangan lupa pakai masker ketika harus beraktivitas keluar rumah,",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C7RB2CQ,2026-09-11,bencana_cuaca,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
afp-C7VL29F,"Percaya ataut idak percaya, suka atau tidak suka, tempat-tempat ibadah atau pun rumah sekolah yang beragama Islam banyak yang selamat dari banjir Nepal,",hoax,claim,AFP Fact Check Indonesia,https://periksafakta.afp.com/doc.afp.com.C7VL29F,2026-09-14,bencana_cuaca,fact_check,AFP Periksa Fakta explicit false verdict; requires manual review,0
bank_indonesia-sp_2817126,"Karya Kreatif Indonesia 2026: Olah Limbah, Ciptakan Nilai Tambah. No.28/171/DKom Pengelolaan limbah menjadi tantangan sekaligus peluang dalam mendorong transformasi ekonomi berkelanjutan.. Sistem Informasi Pengelolaan Sampah Nasional mencatat timbulan sampah pada 2025 mencapai 24,8 juta ton per tahun dari 244 kabupaten/kota.",valid,headline_and_primary_statement,Bank Indonesia,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2817126.aspx,2026-08-23,ekonomi,primary_source,Official Bank Indonesia release; requires manual review,0
bank_indonesia-sp_2817226,"Karya Kreatif Indonesia 2026: UMKM Indonesia Makin Berdaya, Makin Mendunia. ​ No.28/172/DKom Karya Kreatif Indonesia (KKI) kembali mencatatkan capaian gemilang.. Gelaran sinergi memperkuat UMKM Indonesia ini mencatat penjualan sementara sebesar Rp144,2 miliar sampai dengan 22 Agustus 2026, atau meningkat 46% dibandingkan capaian 2025.",valid,headline_and_primary_statement,Bank Indonesia,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2817226.aspx,2026-08-23,teknologi,primary_source,Official Bank Indonesia release; requires manual review,0
bank_indonesia-sp_2817326,"Sinergi Kebijakan Lintas Negara Kunci Jaga Stabilitas di Tengah Disrupsi Teknologi. ​ No.28/173/DKom ​ Sinergi kebijakan lintas otoritas dan lintas negara berperan krusial agar bank sentral mampu menjaga stabilitas makrofinansial sekaligus mengarahkan pemanfaatan teknologi bagi kesejahteraan masyarakat.. Pernyataan tersebut disampaikan Deputi Gubernur Bank Indonesia, Thomas Djiwandono, saat menutup Biennial Policy Conference (BPC) di Bali, 26–27 Agustus 2026.",valid,headline_and_primary_statement,Bank Indonesia,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2817326.aspx,2026-08-31,ekonomi,primary_source,Official Bank Indonesia release; requires manual review,0
bank_indonesia-sp_2817426,"Bantuan Kemanusiaan Bank Indonesia Bagi Korban Gempa Bumi Nusa Tenggara Timur. No.28/174/DKom Bank Indonesia memberikan 32,5 ton bantuan kemanusiaan untuk korban dan masyarakat terdampak gempa bumi di Nusa Tenggara Timur (NTT), termasuk masyarakat di Pulau Palue, Kabupaten Sikka, Kabupaten Ende, dan Kabupaten Nagekeo.. Bantuan disalurkan melalui jalur udara bersinergi dengan Badan Nasional Penanggulangan Bencana (BNPB) dan Tentara Nasional Indonesia Angkatan Udara (TNI AU).",valid,headline_and_primary_statement,Bank Indonesia,https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2817426.aspx,2026-08-31,ekonomi,primary_source,Official Bank Indonesia release; requires manual review,0
