id,text,label,text_source,evidence_source,evidence_url,published_at,topic,verification_method,notes,approved,rejection_reason,similarity,matched_id
cekfakta-36653,Tautan Link Pendaftaran Cek Kesehatan Gratis (CKG),hoax,claim,CekFakta,https://cekfakta.com/focus/36653,2026-09-15,kesehatan,fact_check,CekFakta API status=Salah; requires manual review,0,exact_duplicate,1.000000,cekfakta-36764
cekfakta-36656,Tautan Link Pendaftaran Cek Kesehatan Gratis (CKG),hoax,claim,CekFakta,https://cekfakta.com/focus/36656,2026-09-15,kesehatan,fact_check,CekFakta API status=Salah; requires manual review,0,exact_duplicate,1.000000,cekfakta-36764
cekfakta-36671,Tautan Link Pendaftaran Cek Kesehatan Gratis (CKG),hoax,claim,CekFakta,https://cekfakta.com/focus/36671,2026-09-15,kesehatan,fact_check,CekFakta API status=Salah; requires manual review,0,exact_duplicate,1.000000,cekfakta-36764
cekfakta-36672,Lowongan Kerja Cosmos Indonesia,hoax,claim,CekFakta,https://cekfakta.com/focus/36672,2026-09-15,teknologi,fact_check,CekFakta API status=Salah; requires manual review,0,exact_duplicate,1.000000,turnbackhoax-36672
cekfakta-36679,Prabowo Minta Guru Rahasiakan Keracunan MBG,hoax,claim,CekFakta,https://cekfakta.com/focus/36679,2026-09-15,lainnya,fact_check,CekFakta API status=Salah; requires manual review,0,exact_duplicate,1.000000,cekfakta-36765
cekfakta-36680,Kota Malang Sepakat Hentikan MBG,hoax,claim,CekFakta,https://cekfakta.com/focus/36680,2026-09-15,teknologi,fact_check,CekFakta API status=Salah; requires manual review,0,exact_duplicate,1.000000,turnbackhoax-36680
cekfakta-36681,Gibran Sebut Tidak Tahu Kasus Keracunan MBG,hoax,claim,CekFakta,https://cekfakta.com/focus/36681,2026-09-15,teknologi,fact_check,CekFakta API status=Salah; requires manual review,0,exact_duplicate,1.000000,turnbackhoax-36681
cekfakta-36682,Toko Harian Dipaksa Tutup karena Dekat dengan Kopdes,hoax,claim,CekFakta,https://cekfakta.com/focus/36682,2026-09-16,teknologi,fact_check,CekFakta API status=Salah; requires manual review,0,exact_duplicate,1.000000,turnbackhoax-36682
cekfakta-36697,Tautan Link Pendaftaran Cek Kesehatan Gratis (CKG),hoax,claim,CekFakta,https://cekfakta.com/focus/36697,2026-09-15,kesehatan,fact_check,CekFakta API status=Salah; requires manual review,0,exact_duplicate,1.000000,cekfakta-36764
cekfakta-36698,Prabowo Minta Guru Rahasiakan Keracunan MBG,hoax,claim,CekFakta,https://cekfakta.com/focus/36698,2026-09-16,lainnya,fact_check,CekFakta API status=Salah; requires manual review,0,exact_duplicate,1.000000,cekfakta-36765
cekfakta-36699,Pigai Sebut Penembakan ASN oleh KKB Tidak Melanggar HAM,hoax,claim,CekFakta,https://cekfakta.com/focus/36699,2026-09-16,teknologi,fact_check,CekFakta API status=Salah; requires manual review,0,exact_duplicate,1.000000,cekfakta-36766
cekfakta-36701,Tautan Lowongan Kerja Elabram Systems,hoax,claim,CekFakta,https://cekfakta.com/focus/36701,2026-09-16,teknologi,fact_check,CekFakta API status=Salah; requires manual review,0,exact_duplicate,1.000000,turnbackhoax-36701
cekfakta-36703,Rekaman Video Tenggelamnya KMP Virgo 8 pada 5 September,hoax,claim,CekFakta,https://cekfakta.com/focus/36703,2026-09-16,lainnya,fact_check,CekFakta API status=Salah; requires manual review,0,exact_duplicate,1.000000,cekfakta-36767
cekfakta-36704,Video Penemuan Jurnalis Hilang saat Liput Anak Krakatau,hoax,claim,CekFakta,https://cekfakta.com/focus/36704,2026-09-16,lainnya,fact_check,CekFakta API status=Salah; requires manual review,0,exact_duplicate,1.000000,cekfakta-36768
cekfakta-36705,Link Pendaftaran Penyaluran Bansos Beras 30 Kg 2026,hoax,claim,CekFakta,https://cekfakta.com/focus/36705,2026-09-17,bantuan_sosial,fact_check,CekFakta API status=Salah; requires manual review,0,exact_duplicate,1.000000,cekfakta-36769
cekfakta-36706,"Pembangunan IKN Dihentikan Sementara, Dana Dialihkan ke MBG dan Kopdes",hoax,claim,CekFakta,https://cekfakta.com/focus/36706,2026-09-16,teknologi,fact_check,CekFakta API status=Salah; requires manual review,0,exact_duplicate,1.000000,turnbackhoax-36706
